code,name
BSE/BOM500166,GOODRICKE GROUP LTD. EOD Prices
BSE/BOM500168,GOODYEAR INDIA LTD. EOD Prices
BSE/BOM500170,GTN INDUSTRIES LTD. EOD Prices
BSE/BOM500171,GHCL LTD. EOD Prices
BSE/BOM500173,GFL Ltd EOD Prices
BSE/BOM500174,GUJARAT LEASE FINANCING LTD. EOD Prices
BSE/BOM500179,HCL INFOSYSTEMS LTD. EOD Prices
BSE/BOM500180,HDFC Bank Ltd EOD Prices
BSE/BOM500182,HERO MOTOCORP LTD. EOD Prices
BSE/BOM500183,HFCL Ltd EOD Prices
BSE/BOM500184,Himadri Speciality Chemical Ltd EOD Prices
BSE/BOM500185,HINDUSTAN CONSTRUCTION CO.LTD. EOD Prices
BSE/BOM500186,HINDUSTAN OIL EXPLORATION CO.LTD. EOD Prices
BSE/BOM500187,HSIL LTD. EOD Prices
BSE/BOM500188,HINDUSTAN ZINC LTD. EOD Prices
BSE/BOM500189,Nxtdigital Ltd EOD Prices
BSE/BOM500191,HMT LTD. EOD Prices
BSE/BOM500192,PRAG BOSIMI SYNTHETICS LTD. EOD Prices
BSE/BOM500193,HLV Ltd EOD Prices
BSE/BOM500199,I G PETROCHEMICALS LTD. EOD Prices
BSE/BOM500201,INDIA GLYCOLS LTD. EOD Prices
BSE/BOM500202,INDIA LEASE DEVELOPMENT LTD. EOD Prices
BSE/BOM500206,Margo Finance Limited EOD Prices
BSE/BOM500207,INDO RAMA SYNTHETICS (INDIA) LTD. EOD Prices
BSE/BOM500209,INFOSYS LTD. EOD Prices
BSE/BOM500210,INGERSOLL-RAND (INDIA) LTD. EOD Prices
BSE/BOM500211,INSILCO LTD. EOD Prices
BSE/BOM500212,INTEGRATED FINANCIAL SERVICES LTD. EOD Prices
BSE/BOM500213,INTERNATIONAL TRAVEL HOUSE LTD.-$ EOD Prices
BSE/BOM500214,ION EXCHANGE (INDIA) LTD.-$ EOD Prices
BSE/BOM500215,AGRO TECH FOODS LTD. EOD Prices
BSE/BOM500219,JAIN IRRIGATION SYSTEMS LTD. EOD Prices
BSE/BOM500220,JASCH INDUSTRIES LTD. EOD Prices
BSE/BOM500222,JCT ELECTRONICS LTD. EOD Prices
BSE/BOM500223,JCT LTD. EOD Prices
BSE/BOM500227,JINDAL POLY FILMS LTD. EOD Prices
BSE/BOM500228,JSW STEEL LTD. EOD Prices
BSE/BOM500231,UMANG DAIRIES LTD. EOD Prices
BSE/BOM500233,KAJARIA CERAMICS LTD. EOD Prices
BSE/BOM500234,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD. EOD Prices
BSE/BOM500235,KALYANI STEELS LTD. EOD Prices
BSE/BOM500236,Kanel Industries Limited EOD Prices
BSE/BOM500238,WHIRLPOOL OF INDIA LTD. EOD Prices
BSE/BOM500239,KG DENIM LTD. EOD Prices
BSE/BOM500240,KINETIC ENGINEERING LTD. EOD Prices
BSE/BOM500241,KIRLOSKAR BROTHERS LTD.-$ EOD Prices
BSE/BOM500243,Kirloskar Industries Ltd EOD Prices
BSE/BOM500245,KIRLOSKAR FERROUS INDUSTRIES LTD. EOD Prices
BSE/BOM500246,ENVAIR ELECTRODYNE LTD. EOD Prices
BSE/BOM500247,KOTAK MAHINDRA BANK LTD. EOD Prices
BSE/BOM500248,Krishna Filament Industries Ltd EOD Prices
BSE/BOM500249,KSB Ltd EOD Prices
BSE/BOM500250,L.G.BALAKRISHNAN & BROS.LTD. EOD Prices
BSE/BOM500251,TRENT LTD. EOD Prices
BSE/BOM500252,LAKSHMI MACHINE WORKS LTD. EOD Prices
BSE/BOM500253,LIC HOUSING FINANCE LTD. EOD Prices
BSE/BOM500254,UTTAM VALUE STEELS LTD. EOD Prices
BSE/BOM500255,LML LTD. EOD Prices
BSE/BOM500256,LOK HOUSING & CONSTRUCTIONS LTD.-$ EOD Prices
BSE/BOM500257,LUPIN LTD. EOD Prices
BSE/BOM500259,LYKA LABS LTD. EOD Prices
BSE/BOM500260,The Ramco Cements Limited EOD Prices
BSE/BOM500264,MAFATLAL INDUSTRIES LTD.-$ EOD Prices
BSE/BOM500265,MAHARASHTRA SEAMLESS LTD. EOD Prices
BSE/BOM500266,MAHARASHTRA SCOOTERS LTD. EOD Prices
BSE/BOM500267,MAJESTIC AUTO LTD.-$ EOD Prices
BSE/BOM500268,MANALI PETROCHEMICAL LTD. EOD Prices
BSE/BOM500271,Max Financial Services Ltd EOD Prices
BSE/BOM500274,MESCO PHARMACEUTICALS LTD. EOD Prices
BSE/BOM500277,MID INDIA INDUSTRIES LTD. EOD Prices
BSE/BOM500279,MIRC ELECTRONICS LTD. EOD Prices
BSE/BOM500280,CENTURY ENKA LTD. EOD Prices
BSE/BOM500284,LORDS CHLORO ALKALI LTD. EOD Prices
BSE/BOM500285,SPICEJET LTD. EOD Prices
BSE/BOM500288,MOREPEN LABORATORIES LTD. EOD Prices
BSE/BOM500290,MRF LTD. EOD Prices
BSE/BOM500292,HEIDELBERGCEMENT INDIA LTD. EOD Prices
BSE/BOM500294,NCC Limited EOD Prices
BSE/BOM500295,Vedanta Limited EOD Prices
BSE/BOM500296,NAHAR SPINNING MILLS LTD. EOD Prices
BSE/BOM500298,NATIONAL PEROXIDE LTD. EOD Prices
BSE/BOM500300,GRASIM INDUSTRIES LTD. EOD Prices
BSE/BOM500301,NEPC INDIA LTD. EOD Prices
BSE/BOM500302,PIRAMAL ENTERPRISES LTD. EOD Prices
BSE/BOM500303,ADITYA BIRLA NUVO LTD. EOD Prices
BSE/BOM500304,NIIT LTD. EOD Prices
